Slit_separation_fs,Delay_fs,Reflectivity,Series
-1450.0,235881.27055890302,0.00316666920016162,model
-1450.0,236000.560663491,0.00229696817451534,model
-1450.0,236119.850768079,0.00180459981954455,model
-1450.0,236239.14087266597,0.00207044881948433,model
-1450.0,236358.430977254,0.00265910175491883,model
-1450.0,236477.721081841,0.0028358742961116,model
-1450.0,236597.01118642898,0.00235669528597245,model
-1450.0,236716.301291017,0.00168592029527686,model
-1450.0,236835.59139560402,0.00145924834406136,model
-1450.0,236954.881500192,0.00180688792064258,model
-1450.0,237074.171604779,0.00225305666189958,model
-1450.0,237193.46170936702,0.00225519562730951,model
-1450.0,237312.751813955,0.00177519536942103,model
-1450.0,237432.041918542,0.00128514610630789,model
-1450.0,237551.33202313003,0.00123951537627002,model
-1450.0,237670.622127717,0.00160118463810124,model
-1450.0,237789.912232305,0.00191164958844323,model
-1450.0,237909.20233689298,0.00179727579084303,model
-1450.0,238028.49244148002,0.00135458978028989,model
-1450.0,238147.78254606802,0.00102006366144297,model
-1450.0,238267.072650655,0.00109272046058101,model
-1450.0,238386.362755243,0.00142924733845942,model
-1450.0,238505.65285983103,0.00162030522274034,model
-1450.0,238624.942964418,0.00143428463353692,model
-1450.0,238744.233069006,0.00104951483696165,model
-1450.0,238863.52317359298,0.000843974933167228,model
-1450.0,238982.813278181,0.000988213866182219,model
-1450.0,239102.103382769,0.00127825145754346,model
-1450.0,239221.393487356,0.00136968706978417,model
-1450.0,239340.68359194402,0.00114612882501064,model
-1450.0,239459.97369653103,0.000828696003860466,model
-1450.0,239579.263801119,0.000726478042625535,model
-1450.0,239698.55390570697,0.000907857207761244,model
-1450.0,239817.84401029398,0.00114135603665248,model
-1450.0,239937.134114882,0.00115355748732519,model
-1450.0,240056.42421946902,0.00091783265820016,model
-1450.0,240175.714324057,0.000669863449152089,model
-1450.0,240295.004428645,0.000647381303446303,model
-1450.0,240414.29453323202,0.000840786707359679,model
-1450.0,240533.58463782005,0.00101509915671717,model
-1450.0,240652.874742407,0.000967367334774218,model
-1450.0,240772.16484699503,0.000737959184948724,model
-1450.0,240891.454951583,0.000556768029735957,model
-1450.0,241010.74505617,0.000593047520012253,model
-1450.0,241130.03516075804,0.00078053430584875,model
-1450.0,241249.32526534502,0.000897805158632467,model
-1450.0,241368.61536993302,0.000807672026918532,model
-1450.0,241487.905474521,0.000597501395502739,model
-1450.0,241607.19557910797,0.000477360572717603,model
-1450.0,241726.48568369602,0.000554056075422397,model
-1450.0,241845.775788283,0.0007233998172188,model
-1450.0,241965.06589287097,0.00078880298093502,model
-1450.0,242084.35599745903,0.000671745079101929,model
-1450.0,242203.646102046,0.000489186792546249,model
-1450.0,242322.93620663398,0.000422456743216224,model
-1450.0,242442.226311221,0.000523937942044683,model
-1450.0,242561.51641580902,0.000667428350324262,model
-1450.0,242680.806520397,0.000688058201509876,model
-1450.0,242800.096624984,0.000557199992205971,model
-1450.0,242919.38672957203,0.000406996024807883,model
-1450.0,243038.67683415904,0.000384976161079914,model
-1450.0,243157.966938747,0.000498326162363247,model
-1450.0,243277.25704333498,0.000611843906035162,model
-1450.0,243396.54714792199,0.000595740996057744,model
-1450.0,243515.83725251,0.000461868485942126,model
-1450.0,243635.127357097,0.000345826374801853,model
-1450.0,243754.417461685,0.000359511632966558,model
-1450.0,243873.70756627302,0.000474336421597512,model
-1450.0,243992.99767086,0.000556584886258337,model
-1450.0,244112.287775448,0.000512052626043686,model
-1450.0,244231.57788003498,0.000383714152541455,model
-1450.0,244350.867984623,0.000301372495409378,model
-1450.0,244470.158089211,0.000341894215768915,model
-1450.0,244589.448193798,0.000450177112533011,model
-1450.0,244708.73829838602,0.000501988643754373,model
-1450.0,244828.02840297302,0.000437191686787826,model
-1450.0,244947.318507561,0.000320774859626546,model
-1450.0,245066.608612149,0.000269962761043067,model
-1450.0,245185.89871673597,0.00032892297404643,model
-1450.0,245305.188821324,0.000424849154502651,model
-1450.0,245424.478925911,0.000448674807986212,model
-1450.0,245543.76903049898,0.000371227873652558,model
-1450.0,245663.059135087,0.000271152854705824,model
-1450.0,245782.34923967402,0.00024841114627575,model
-1450.0,245901.639344262,0.000318232237077804,model
-1400.0,217391.304347826,0.000974441297073731,model
-1400.0,217510.594452413,0.000769435951424022,model
-1400.0,217629.884557001,0.00059769026731127,model
