t_s,tau_ent_s,lambda_s_inv,norm2
5.375e-13,0.5374999999999995,1000000000000.0,0.34129756420968227
5.4e-13,0.5399999999999995,1000000000000.0,0.339595334622336
5.425000000000001e-13,0.5424999999999994,1000000000000.0,0.33790159494488614
5.450000000000001e-13,0.5449999999999994,1000000000000.0,0.33621630283370857
5.475000000000001e-13,0.5474999999999993,1000000000000.0,0.3345394161563688
5.500000000000002e-13,0.5499999999999993,1000000000000.0,0.3328708929905689
5.525000000000002e-13,0.5524999999999992,1000000000000.0,0.3312106916230994
5.550000000000003e-13,0.5549999999999992,1000000000000.0,0.32955877054879634
5.575000000000003e-13,0.5574999999999991,1000000000000.0,0.32791508846950385
5.600000000000003e-13,0.559999999999999,1000000000000.0,0.3262796042930415
5.625000000000004e-13,0.562499999999999,1000000000000.0,0.32465227713217715
5.650000000000004e-13,0.564999999999999,1000000000000.0,0.3230330663036045
5.675000000000005e-13,0.5674999999999989,1000000000000.0,0.32142193132692665
5.700000000000005e-13,0.5699999999999988,1000000000000.0,0.3198188319236431
5.725000000000005e-13,0.5724999999999988,1000000000000.0,0.31822372801614346
5.750000000000006e-13,0.5749999999999987,1000000000000.0,0.31663657972670545
5.775000000000006e-13,0.5774999999999987,1000000000000.0,0.31505734737649804
5.800000000000007e-13,0.5799999999999986,1000000000000.0,0.31348599148458894
5.825000000000007e-13,0.5824999999999986,1000000000000.0,0.311922472766958
5.850000000000007e-13,0.5849999999999985,1000000000000.0,0.31036675213551534
5.875000000000008e-13,0.5874999999999985,1000000000000.0,0.3088187906971235
5.900000000000008e-13,0.5899999999999984,1000000000000.0,0.3072785497526256
5.925000000000009e-13,0.5924999999999984,1000000000000.0,0.3057459907958777
5.950000000000009e-13,0.5949999999999983,1000000000000.0,0.3042210755127862
5.975000000000009e-13,0.5974999999999983,1000000000000.0,0.3027037657803498
6.00000000000001e-13,0.5999999999999982,1000000000000.0,0.30119402366570674
6.02500000000001e-13,0.6024999999999981,1000000000000.0,0.2996918114251861
6.050000000000011e-13,0.6049999999999981,1000000000000.0,0.29819709150336454
6.075000000000011e-13,0.607499999999998,1000000000000.0,0.29670982653212735
6.100000000000011e-13,0.609999999999998,1000000000000.0,0.295229979329734
6.125000000000012e-13,0.6124999999999979,1000000000000.0,0.29375751289988866
6.150000000000012e-13,0.6149999999999979,1000000000000.0,0.29229239043081584
6.175000000000013e-13,0.6174999999999978,1000000000000.0,0.2908345752943391
6.200000000000013e-13,0.6199999999999978,1000000000000.0,0.2893840310449662
6.225000000000013e-13,0.6224999999999977,1000000000000.0,0.28794072141897764
6.250000000000014e-13,0.6249999999999977,1000000000000.0,0.2865046103335199
6.275000000000014e-13,0.6274999999999976,1000000000000.0,0.28507566188570377
6.300000000000015e-13,0.6299999999999976,1000000000000.0,0.28365384035170643
6.325000000000015e-13,0.6324999999999975,1000000000000.0,0.28223911018587833
6.350000000000015e-13,0.6349999999999975,1000000000000.0,0.28083143601985494
6.375000000000016e-13,0.6374999999999974,1000000000000.0,0.27943078266167193
6.400000000000016e-13,0.6399999999999973,1000000000000.0,0.2780371150948861
6.425000000000017e-13,0.6424999999999973,1000000000000.0,0.27665039847769934
6.450000000000017e-13,0.6449999999999972,1000000000000.0,0.27527059814208793
6.475000000000017e-13,0.6474999999999972,1000000000000.0,0.2738976795929356
6.500000000000018e-13,0.6499999999999971,1000000000000.0,0.2725316085071714
6.525000000000018e-13,0.6524999999999971,1000000000000.0,0.2711723507329114
6.550000000000019e-13,0.654999999999997,1000000000000.0,0.2698198722886052
6.575000000000019e-13,0.657499999999997,1000000000000.0,0.26847413936218595
6.600000000000019e-13,0.6599999999999969,1000000000000.0,0.2671351183102253
6.62500000000002e-13,0.6624999999999969,1000000000000.0,0.2658027756570924
6.65000000000002e-13,0.6649999999999968,1000000000000.0,0.26447707809411686
6.675000000000021e-13,0.6674999999999968,1000000000000.0,0.263157992478756
6.700000000000021e-13,0.6699999999999967,1000000000000.0,0.26184548583376627
6.725000000000021e-13,0.6724999999999967,1000000000000.0,0.2605395253463792
6.750000000000022e-13,0.6749999999999966,1000000000000.0,0.2592400783674804
6.775000000000022e-13,0.6774999999999965,1000000000000.0,0.25794711241079404
6.800000000000023e-13,0.6799999999999965,1000000000000.0,0.25666059515207007
6.825000000000023e-13,0.6824999999999964,1000000000000.0,0.25538049442827665
6.850000000000023e-13,0.6849999999999964,1000000000000.0,0.2541067782367954
6.875000000000024e-13,0.6874999999999963,1000000000000.0,0.2528394147346224
6.900000000000024e-13,0.6899999999999963,1000000000000.0,0.2515783722375708
6.925000000000025e-13,0.6924999999999962,1000000000000.0,0.2503236192194797
6.950000000000025e-13,0.6949999999999962,1000000000000.0,0.2490751243114258
6.975000000000025e-13,0.6974999999999961,1000000000000.0,0.24783285630093865
7.000000000000026e-13,0.6999999999999961,1000000000000.0,0.24659678413122102
7.025000000000026e-13,0.702499999999996,1000000000000.0,0.24536687690037207
7.050000000000027e-13,0.704999999999996,1000000000000.0,0.24414310386061497
7.075000000000027e-13,0.7074999999999959,1000000000000.0,0.24292543441752817
7.100000000000027e-13,0.7099999999999959,1000000000000.0,0.24171383812928038
7.125000000000028e-13,0.7124999999999958,1000000000000.0,0.24050828470586968
7.150000000000028e-13,0.7149999999999958,1000000000000.0,0.2393087440083664
7.175000000000028e-13,0.7174999999999957,1000000000000.0,0.23811518604815946
7.200000000000029e-13,0.7199999999999956,1000000000000.0,0.2369275809862064
7.225000000000029e-13,0.7224999999999956,1000000000000.0,0.23574589913228805
7.25000000000003e-13,0.7249999999999955,1000000000000.0,0.23457011094426572
7.27500000000003e-13,0.7274999999999955,1000000000000.0,0.23340018702734283
7.30000000000003e-13,0.7299999999999954,1000000000000.0,0.23223609813333004
7.325000000000031e-13,0.7324999999999954,1000000000000.0,0.23107781515991407
7.350000000000031e-13,0.7349999999999953,1000000000000.0,0.22992530914993012
7.375000000000032e-13,0.7374999999999953,1000000000000.0,0.2287785512906379
7.400000000000032e-13,0.7399999999999952,1000000000000.0,0.2276375129130012
